"filename", "language", "Python", "toml", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\BestAngleByWind.py", "Python", 30, 0, 0, 0, 7, 19, 56
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\CalibersEffect.py", "Python", 23, 0, 0, 0, 11, 16, 50
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\DesignRocket.py", "Python", 52, 0, 0, 0, 24, 34, 110
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\DiameterStudy.py", "Python", 84, 0, 0, 0, 27, 40, 151
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\EvaluateRocket.py", "Python", 13, 0, 0, 0, 13, 20, 46
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\MotorTimeIncrement.py", "Python", 18, 0, 0, 0, 5, 19, 42
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\OptimizeBurnTime.py", "Python", 37, 0, 0, 0, 18, 26, 81
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\OptimizeDryMass.py", "Python", 32, 0, 0, 0, 7, 23, 62
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\OptimizeOFAtPressure.py", "Python", 24, 0, 0, 0, 10, 20, 54
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\SensitivityToOxTemperature.py", "Python", 26, 0, 0, 0, 6, 22, 54
"c:\Users\rkuhlman813\Documents\rocket-simulation\Analysis\WindMonteCarlo.py", "Python", 45, 0, 0, 0, 8, 26, 79
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\CEAOutput\ProcessScrapedCEA.py", "Python", 81, 0, 0, 0, 20, 65, 166
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\CEAOutput\ScrapeCEAOnline.py", "Python", 107, 0, 0, 0, 27, 74, 208
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\CEAOutput\SimulateCEATable.py", "Python", 39, 0, 0, 0, 8, 22, 69
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\CombustionLookup.csv", "CSV", 0, 0, 0, 8284, 0, 1, 8285
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\CombustionLookupHTPB.csv", "CSV", 0, 0, 0, 10001, 0, 1, 10002
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\FitPolynomialModels.py", "Python", 105, 0, 0, 0, 37, 69, 211
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\Presets\TannerModel.py", "Python", 29, 0, 0, 0, 4, 9, 42
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\SimulateGrainSurface.py", "Python", 163, 0, 0, 0, 80, 105, 348
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\ThrustProfile.py", "Python", 26, 0, 0, 0, 7, 22, 55
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\Wind\FitWind.py", "Python", 29, 0, 0, 0, 6, 28, 63
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\Wind\GraphWind.py", "Python", 15, 0, 0, 0, 14, 19, 48
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\Wind\MoreData.csv", "CSV", 0, 0, 0, 17018, 0, 1, 17019
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\Wind\WSMRSpeedAltitude.csv", "CSV", 0, 0, 0, 103, 0, 0, 103
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\Wind\whiteSandsModels.py", "Python", 12, 0, 0, 0, 2, 13, 27
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\Wind\windSample.csv", "CSV", 0, 0, 0, 17018, 0, 1, 17019
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\aerodynamicQualities.csv", "CSV", 0, 0, 0, 7503, 0, 0, 7503
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\airQuantities.csv", "CSV", 0, 0, 0, 501, 0, 0, 501
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\currentGoddard.csv", "CSV", 0, 0, 0, 12, 0, 1, 13
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\finleyThrust.csv", "CSV", 0, 0, 0, 2024, 0, 0, 2024
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\goddardModels.py", "Python", 43, 0, 0, 0, 16, 29, 88
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\mmrThrust.csv", "CSV", 0, 0, 0, 12, 0, 0, 12
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\models.py", "Python", 57, 0, 0, 0, 91, 45, 193
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\newWind.csv", "CSV", 0, 0, 0, 2, 0, 1, 3
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\thrustCurve.csv", "CSV", 0, 0, 0, 5, 0, 1, 6
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\thrustCurveO6300.csv", "CSV", 0, 0, 0, 12, 0, 1, 13
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\thrustCurveSmaller.csv", "CSV", 0, 0, 0, 12, 0, 1, 13
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\thrustCurveToModify.csv", "CSV", 0, 0, 0, 12, 0, 0, 12
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\thrustCurveUsual.csv", "CSV", 0, 0, 0, 28, 0, 1, 29
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Input\wind.py", "Python", 93, 0, 0, 0, 38, 61, 192
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\CompressCSVFiles.py", "Python", 9, 0, 0, 0, 2, 10, 21
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\ThirdPartySimulations\MMR\OpenRocketData.csv", "CSV", 0, 0, 0, 3233, 0, 1, 3234
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\ThirdPartySimulations\MMR\RockSim.csv", "CSV", 0, 0, 0, 1995, 0, 1, 1996
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\ThirdPartySimulations\OpenRocketData.csv", "CSV", 0, 0, 0, 4681, 0, 1, 4682
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\basicOutput.csv", "CSV", 0, 0, 0, 2987, 0, 1, 2988
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\conversions.csv", "CSV", 0, 0, 0, 12934, 0, 1, 12935
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\motorOutput.csv", "CSV", 0, 0, 0, 3008, 0, 1, 3009
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\newWind.csv", "CSV", 0, 0, 0, 51, 0, 1, 52
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\noWind.csv", "CSV", 0, 0, 0, 3850, 0, 1, 3851
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\ouputRot1.csv", "CSV", 0, 0, 0, 4689, 0, 1, 4690
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\ouputRot2.csv", "CSV", 0, 0, 0, 4576, 0, 1, 4577
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\ouputRot3.csv", "CSV", 0, 0, 0, 4566, 0, 1, 4567
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\ouputRot4.csv", "CSV", 0, 0, 0, 4671, 0, 1, 4672
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\output.csv", "CSV", 0, 0, 0, 10370, 0, 1, 10371
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\output1DOFMMR.csv", "CSV", 0, 0, 0, 2667, 0, 1, 2668
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\output5DOFMMR.csv", "CSV", 0, 0, 0, 2146, 0, 1, 2147
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\output5DOFNoWind.csv", "CSV", 0, 0, 0, 1311, 0, 1, 1312
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\output5DOFWind.csv", "CSV", 0, 0, 0, 1311, 0, 1, 1312
"c:\Users\rkuhlman813\Documents\rocket-simulation\Data\Output\windMonteCarlo.csv", "CSV", 0, 0, 0, 51, 0, 1, 52
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\data.py", "Python", 47, 0, 0, 0, 17, 36, 100
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\design.py", "Python", 6, 0, 0, 0, 0, 4, 10
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\fluidSimulation.py", "Python", 69, 0, 0, 0, 54, 53, 176
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\general.py", "Python", 158, 0, 0, 0, 44, 90, 292
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\massProperties.py", "Python", 15, 0, 0, 0, 7, 13, 35
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\oxTankMassProperties.py", "Python", 34, 0, 0, 0, 4, 17, 55
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\presets.py", "Python", 39, 0, 0, 0, 1, 26, 66
"c:\Users\rkuhlman813\Documents\rocket-simulation\Helpers\timing.py", "Python", 33, 0, 0, 0, 9, 15, 57
"c:\Users\rkuhlman813\Documents\rocket-simulation\README.md", "Markdown", 0, 0, 92, 0, 21, 57, 170
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\Motor\combustionChamber.py", "Python", 62, 0, 0, 0, 32, 32, 126
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\Motor\grain.py", "Python", 104, 0, 0, 0, 33, 61, 198
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\Motor\injector.py", "Python", 94, 0, 0, 0, 39, 64, 197
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\Motor\nitrousProperties.py", "Python", 80, 0, 0, 0, 17, 40, 137
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\Motor\nozzle.py", "Python", 151, 0, 0, 0, 92, 112, 355
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\Motor\oxTank.py", "Python", 188, 0, 0, 0, 64, 85, 337
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\fins.py", "Python", 13, 0, 0, 0, 11, 9, 33
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\frame.py", "Python", 34, 0, 0, 0, 3, 16, 53
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\massObject.py", "Python", 109, 0, 0, 0, 39, 59, 207
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\motor.py", "Python", 189, 0, 0, 0, 38, 100, 327
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\nose.py", "Python", 0, 0, 0, 0, 5, 1, 6
"c:\Users\rkuhlman813\Documents\rocket-simulation\RocketParts\parachute.py", "Python", 43, 0, 0, 0, 7, 26, 76
"c:\Users\rkuhlman813\Documents\rocket-simulation\SimulateMotor.py", "Python", 27, 0, 0, 0, 7, 17, 51
"c:\Users\rkuhlman813\Documents\rocket-simulation\SimulateRocket.py", "Python", 27, 0, 0, 0, 4, 18, 49
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\DesignedMotor.py", "Python", 28, 0, 0, 0, 5, 20, 53
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\DesignedRocket.py", "Python", 50, 0, 0, 0, 7, 22, 79
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\GeneticSelectionForGoddardProblem.py", "Python", 209, 0, 0, 0, 41, 91, 341
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\GeneticSelectionForParachutes.py", "Python", 132, 0, 0, 0, 23, 73, 228
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\OneDOF.py", "Python", 45, 0, 0, 0, 5, 17, 67
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\Samples.py", "Python", 0, 0, 0, 0, 57, 7, 64
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\TimeDeltaStudy.py", "Python", 35, 0, 0, 0, 17, 23, 75
"c:\Users\rkuhlman813\Documents\rocket-simulation\Simulations\verifiedSimulation.py", "Python", 19, 0, 0, 0, 9, 11, 39
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\flight_simulation_test.py", "Python", 86, 0, 0, 0, 38, 56, 180
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\general_test.py", "Python", 65, 0, 0, 0, 16, 27, 108
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\mass_object_test.py", "Python", 33, 0, 0, 0, 3, 7, 43
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\models_test.py", "Python", 11, 0, 0, 0, 1, 4, 16
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\physics_test.py", "Python", 1, 0, 0, 0, 14, 3, 18
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\preset_test.py", "Python", 10, 0, 0, 0, 0, 8, 18
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\propulsion_test.py", "Python", 26, 0, 0, 0, 21, 19, 66
"c:\Users\rkuhlman813\Documents\rocket-simulation\Tests\rocket_test.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\rkuhlman813\Documents\rocket-simulation\TimeFunctions.py", "Python", 43, 0, 0, 0, 21, 20, 84
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\CalculateConversions.py", "Python", 49, 0, 0, 0, 15, 30, 94
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\CompareThirdParty.py", "Python", 186, 0, 0, 0, 15, 118, 319
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\Display2DAnimation.py", "Python", 26, 0, 0, 0, 5, 19, 50
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\DisplayAerodynamicQualities.py", "Python", 14, 0, 0, 0, 4, 12, 30
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\DisplayModelAccuracy.py", "Python", 30, 0, 0, 0, 7, 22, 59
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\FlightOpticalAnalysis.py", "Python", 109, 0, 0, 0, 24, 54, 187
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\GraphOverview.py", "Python", 34, 0, 0, 0, 11, 33, 78
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\MotorOpticalAnalysis.py", "Python", 55, 0, 0, 0, 13, 38, 106
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\OxTankCG.py", "Python", 52, 0, 0, 0, 2, 22, 76
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\SimplifiedRotationSimulation.py", "Python", 62, 0, 0, 0, 28, 48, 138
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\StaticStability.py", "Python", 10, 0, 0, 0, 0, 9, 19
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\ToBlender.py", "Python", 25, 0, 0, 0, 11, 17, 53
"c:\Users\rkuhlman813\Documents\rocket-simulation\Visualization\WindGenerationDemonstration.py", "Python", 86, 0, 0, 0, 20, 60, 166
"c:\Users\rkuhlman813\Documents\rocket-simulation\designNotes.md", "Markdown", 0, 0, 45, 0, 6, 31, 82
"c:\Users\rkuhlman813\Documents\rocket-simulation\environment.py", "Python", 61, 0, 0, 0, 40, 38, 139
"c:\Users\rkuhlman813\Documents\rocket-simulation\logger.py", "Python", 148, 0, 0, 0, 35, 80, 263
"c:\Users\rkuhlman813\Documents\rocket-simulation\poetry.lock", "toml", 0, 155, 0, 0, 0, 11, 166
"c:\Users\rkuhlman813\Documents\rocket-simulation\presetObject.py", "Python", 26, 0, 0, 0, 11, 21, 58
"c:\Users\rkuhlman813\Documents\rocket-simulation\rocket.py", "Python", 351, 0, 0, 0, 158, 192, 701
"c:\Users\rkuhlman813\Documents\rocket-simulation\simulation.py", "Python", 184, 0, 0, 0, 47, 93, 324
"Total", "-", 5015, 155, 137, 131644, 1766, 3172, 141889